"id","transactionid","oa11","postcode","price","dateoftransfer","propertytype","oldnew","duration","paon","saon","street","locality","towncity","district","county","categorytype","recordstatus","year","lsoa11","msoa11","laua","lad11nm","gor","rgn11nm","classt","propertytype_epc","inspectiondate","lodgementdate","tfarea","numberrooms","priceper","BUILDING_REFERENCE_NUMBER","CURRENT_ENERGY_RATING","POTENTIAL_ENERGY_RATING","CURRENT_ENERGY_EFFICIENCY","POTENTIAL_ENERGY_EFFICIENCY","BUILT_FORM","LOCAL_AUTHORITY","CONSTITUENCY","COUNTY","TRANSACTION_TYPE","ENVIRONMENT_IMPACT_CURRENT","ENVIRONMENT_IMPACT_POTENTIAL","ENERGY_CONSUMPTION_CURRENT","ENERGY_CONSUMPTION_POTENTIAL","CO2_EMISSIONS_CURRENT","CO2_EMISS_CURR_PER_FLOOR_AREA","CO2_EMISSIONS_POTENTIAL","LIGHTING_COST_CURRENT","LIGHTING_COST_POTENTIAL","HEATING_COST_CURRENT","HEATING_COST_POTENTIAL","HOT_WATER_COST_CURRENT","HOT_WATER_COST_POTENTIAL","ENERGY_TARIFF","MAINS_GAS_FLAG","FLOOR_LEVEL","FLAT_TOP_STOREY","FLAT_STOREY_COUNT","MAIN_HEATING_CONTROLS","MULTI_GLAZE_PROPORTION","GLAZED_TYPE","GLAZED_AREA","EXTENSION_COUNT","NUMBER_HEATED_ROOMS","LOW_ENERGY_LIGHTING","NUMBER_OPEN_FIREPLACES","HOTWATER_DESCRIPTION","HOT_WATER_ENERGY_EFF","HOT_WATER_ENV_EFF","FLOOR_DESCRIPTION","FLOOR_ENERGY_EFF","FLOOR_ENV_EFF","WINDOWS_DESCRIPTION","WINDOWS_ENERGY_EFF","WINDOWS_ENV_EFF","WALLS_DESCRIPTION","WALLS_ENERGY_EFF","WALLS_ENV_EFF","SECONDHEAT_DESCRIPTION","SHEATING_ENERGY_EFF","SHEATING_ENV_EFF","ROOF_DESCRIPTION","ROOF_ENERGY_EFF","ROOF_ENV_EFF","MAINHEAT_DESCRIPTION","MAINHEAT_ENERGY_EFF","MAINHEAT_ENV_EFF","MAINHEATCONT_DESCRIPTION","MAINHEATC_ENERGY_EFF","MAINHEATC_ENV_EFF","LIGHTING_DESCRIPTION","LIGHTING_ENERGY_EFF","LIGHTING_ENV_EFF","MAIN_FUEL","WIND_TURBINE_COUNT","HEAT_LOSS_CORRIDOOR","UNHEATED_CORRIDOR_LENGTH","FLOOR_HEIGHT","PHOTO_SUPPLY","SOLAR_WATER_HEATING_FLAG","MECHANICAL_VENTILATION","LOCAL_AUTHORITY_LABEL","CONSTITUENCY_LABEL"
10000016,"{766E340F-536A-4AAD-80FB-7C7DBACAC754}","E00170381","KT22 7UT",250000,"2012-03-20","F","N","L","TURNER COURT","FLAT 2","HIGHBURY DRIVE","","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2012,"E01030549","E02006364","E07000210","Mole Valley","E12000008","South East",11,"Flat","2011-02-21","2011-02-22",74.29,3,3365.19046978059,3285804868,"B","B",81,84,"End-Terrace","E07000210","E14000824","Surrey","marketed sale",81,82,138,127,1.7,23,1.6,89,44,257,263,97,97,"Single","Y","1st","N",4,"2106",100,"double glazing installed during or after 2002","Normal",0,3,0,0,"From main system","Very Good","Very Good","To external air, limited insulation (assumed)","N/A","N/A","Fully double glazed","Good","Good","Cavity wall, as built, insulated (assumed)","Good","Good","None","N/A","N/A","(another dwelling above)","N/A","N/A","Boiler and radiators, mains gas","Very Good","Very Good","Programmer, room thermostat and TRVs","Good","Good","No low energy lighting","Very Poor","Very Poor","mains gas - this is for backwards compatibility only and should not be used",0,"unheated corridor",1.3,2.36,0,"N","natural","Mole Valley","Mole Valley"
10000020,"{49B7852A-7EEE-7921-E050-A8C063056E8D}","E00155711","RH5 5AB",645000,"2017-01-19","D","N","F","BAGGINS COTTAGE","","UNDERHILL ROAD","NEWDIGATE","DORKING","MOLE VALLEY","SURREY","A","A",2017,"E01030528","E02006374","E07000210","Mole Valley","E12000008","South East",11,"House","2011-01-12","2011-01-12",74.62,6,8643.79522916108,9737872868,"C","C",74,76,"Detached","E07000210","E14000824","Surrey","marketed sale",72,74,162,153,4,27,3.8,167,84,579,594,136,136,"Single","Y","NO DATA!","",NA,"2106",100,"double glazing installed during or after 2002","Normal",1,6,0,0,"From main system","Very Good","Very Good","Solid, insulated","N/A","N/A","Fully double glazed","Good","Good","Solid brick, with internal insulation","Good","Good","Room heaters, dual fuel (mineral and wood)","N/A","N/A","Roof room(s), insulated","Good","Good","Boiler and radiators, mains gas","Very Good","Very Good","Programmer, room thermostat and TRVs","Good","Good","No low energy lighting","Very Poor","Very Poor","mains gas - this is for backwards compatibility only and should not be used",0,"NO DATA!",NA,2.4,0,"N","natural","Mole Valley","Mole Valley"
10000020,"{F8DC9177-95F9-41C1-84EB-38BA06C06672}","E00155711","RH5 5AB",447000,"2012-07-19","D","N","F","BAGGINS COTTAGE","","UNDERHILL ROAD","NEWDIGATE","DORKING","MOLE VALLEY","SURREY","A","A",2012,"E01030528","E02006374","E07000210","Mole Valley","E12000008","South East",11,"House","2011-01-12","2011-01-12",74.62,6,5990.35111230233,9737872868,"C","C",74,76,"Detached","E07000210","E14000824","Surrey","marketed sale",72,74,162,153,4,27,3.8,167,84,579,594,136,136,"Single","Y","NO DATA!","",NA,"2106",100,"double glazing installed during or after 2002","Normal",1,6,0,0,"From main system","Very Good","Very Good","Solid, insulated","N/A","N/A","Fully double glazed","Good","Good","Solid brick, with internal insulation","Good","Good","Room heaters, dual fuel (mineral and wood)","N/A","N/A","Roof room(s), insulated","Good","Good","Boiler and radiators, mains gas","Very Good","Very Good","Programmer, room thermostat and TRVs","Good","Good","No low energy lighting","Very Poor","Very Poor","mains gas - this is for backwards compatibility only and should not be used",0,"NO DATA!",NA,2.4,0,"N","natural","Mole Valley","Mole Valley"
10000022,"{34428D7E-8128-B86C-E050-A8C06205059C}","E00155655","KT23 3EA",273032,"2016-03-30","T","N","F","21","","POST HOUSE LANE","BOOKHAM","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2016,"E01030516","E02006367","E07000210","Mole Valley","E12000008","South East",12,"House","2018-09-18","2018-09-18",84,5,3250.38095238095,465551568,"D","B",66,81,"Semi-Detached","E07000210","E14000824","Surrey","non marketed sale",61,77,243,135,3.6,43,2,58,58,566,533,163,85,"Single","Y","NODATA!","",NA,"2106",100,"double glazing, unknown install date","Normal",2,5,100,0,"From main system","Good","Good","Solid, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cavity wall, filled cavity","Average","Average","None","N/A","N/A","Pitched, 270 mm loft insulation","Good","Good","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in all fixed outlets","Very Good","Very Good","mains gas (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000027,"{F2963BC5-2616-4C21-833B-E18DE1BB35DE}","E00155858","RH4 3QR",317000,"2015-08-07","T","N","F","17","","BAILEY ROAD","WESTCOTT","DORKING","MOLE VALLEY","SURREY","A","A",2015,"E01030558","E02006373","E07000210","Mole Valley","E12000008","South East",11,"House","2015-05-14","2015-05-14",64,4,4953.125,5179206378,"D","B",58,84,"Mid-Terrace","E07000210","E14000824","Surrey","rental (private)",52,82,332,104,3.7,58,1.2,74,43,550,426,239,81,"Single","Y","NODATA!","",NA,"2106",100,"double glazing installed during or after 2002","Normal",0,4,27,1,"From main system, no cylinder thermostat","Average","Average","Suspended, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Good","Good","Solid brick, as built, no insulation (assumed)","Very Poor","Very Poor","None","N/A","N/A","Pitched, 150 mm loft insulation","Good","Good","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 27% of fixed outlets","Average","Average","mains gas (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000029,"{797D6CCC-2E3E-4FA4-B1AA-3172446F3E70}","E00155839","RH5 6JF",835000,"2015-07-17","D","N","F","FERN BANK","","ABINGER LANE","ABINGER COMMON","DORKING","MOLE VALLEY","SURREY","A","A",2015,"E01030555","E02006373","E07000210","Mole Valley","E12000008","South East",12,"House","2017-02-16","2017-03-14",180,7,4638.88888888889,513099468,"F","C",33,71,"Detached","E07000210","E14000824","Surrey","ECO assessment",26,57,309,119,15,82,6.7,157,90,1747,918,389,77,"Single","N","NODATA!","",NA,"2106",100,"double glazing, unknown install date","Normal",1,7,25,0,"Electric immersion, standard tariff","Very Poor","Poor","Solid, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cob, as built","Average","Average","Room heaters, smokeless fuel","N/A","N/A","Pitched, no insulation","Very Poor","Very Poor","Boiler and radiators, oil","Poor","Average","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 25% of fixed outlets","Average","Average","oil (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000029,"{E11E3BE9-E337-478C-8F00-F6A92FFA1718}","E00155839","RH5 6JF",250000,"2013-10-22","D","N","F","FERN BANK","","ABINGER LANE","ABINGER COMMON","DORKING","MOLE VALLEY","SURREY","A","A",2013,"E01030555","E02006373","E07000210","Mole Valley","E12000008","South East",12,"House","2017-02-16","2017-03-14",180,7,1388.88888888889,513099468,"F","C",33,71,"Detached","E07000210","E14000824","Surrey","ECO assessment",26,57,309,119,15,82,6.7,157,90,1747,918,389,77,"Single","N","NODATA!","",NA,"2106",100,"double glazing, unknown install date","Normal",1,7,25,0,"Electric immersion, standard tariff","Very Poor","Poor","Solid, no insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cob, as built","Average","Average","Room heaters, smokeless fuel","N/A","N/A","Pitched, no insulation","Very Poor","Very Poor","Boiler and radiators, oil","Poor","Average","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 25% of fixed outlets","Average","Average","oil (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
10000036,"{70DA407D-7E8D-45ED-BC71-355EF76C9EE3}","E00155747","RH4 3EF",220000,"2011-08-11","F","N","L","24","","SONDES FARM","","DORKING","MOLE VALLEY","SURREY","A","A",2011,"E01030535","E02006371","E07000210","Mole Valley","E12000008","South East",12,"Flat","2010-08-11","2010-08-12",94.43,4,2329.76808217727,8672868768,"C","C",73,80,"Detached","E07000210","E14000824","Surrey","marketed sale",71,78,195,149,3,32,2.3,115,57,379,334,166,131,"Single","Y","1st","Y",2,"2104",100,"double glazing installed before 2002","Normal",0,4,0,0,"From main system","Good","Good","(other premises below)","N/A","N/A","Fully double glazed","Average","Average","Timber frame, as built, insulated (assumed)","Good","Good","Room heaters, mains gas","N/A","N/A","Pitched, insulated (assumed)","Average","Average","Boiler and radiators, mains gas","Good","Good","Programmer and room thermostat","Average","Average","No low energy lighting","Very Poor","Very Poor","mains gas - this is for backwards compatibility only and should not be used",0,"heated corridor",NA,2.23,0,"N","natural","Mole Valley","Mole Valley"
1000004,"{8F1B26BD-DFC9-53DB-E053-6C04A8C03649}","E00069522","LE3 0TR",95000,"2019-07-05","F","N","L","REGENCY COURT, 120 - 128","FLAT 1","HINCKLEY ROAD","","LEICESTER","LEICESTER","LEICESTER","A","A",2019,"E01013782","E02002849","E06000016","Leicester","E12000004","East Midlands",12,"Flat","2019-01-10","2019-01-10",42,2,2261.90476190476,9995482568,"C","C",70,74,"Semi-Detached","E06000016","E14000784",NA,"marketed sale",54,60,413,357,2.9,70,2.5,57,41,337,299,192,164,"Unknown","N","Ground","N",NA,"2401",100,"double glazing, unknown install date","Normal",0,2,60,0,"Electric immersion, off-peak","Average","Poor","Solid, limited insulation (assumed)","NO DATA!","N/A","Fully double glazed","Average","Average","Cavity wall, as built, insulated (assumed)","Good","Good","Portable electric heaters (assumed)","N/A","N/A","(another dwelling above)","N/A","N/A","Electric storage heaters","Average","Very Poor","Manual charge control","Poor","Poor","Low energy lighting in 60% of fixed outlets","Good","Good","electricity (not community)",0,"unheated corridor",7.96,NA,NA,"N","natural","Leicester","Leicester West"
10000042,"{3209C493-49B9-4DEF-A08C-BDCCC63B175F}","E00155821","KT22 7LN",164500,"2012-09-28","F","N","L","BURLEIGH COURT","FLAT 16","BELMONT ROAD","","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2012,"E01030550","E02006364","E07000210","Mole Valley","E12000008","South East",11,"Flat","2010-10-29","2010-10-29",45.84,2,3588.56893542757,6521021868,"C","B",77,81,"Detached","E07000210","E14000824","Surrey","rental (private)",75,78,225,193,1.7,37,1.5,35,25,261,247,117,98,"Single","Y","2nd","Y",3,"2106",0,"not defined","Normal",0,2,60,0,"From main system","Good","Good","(other premises below)","N/A","N/A","Single glazed","Very Poor","Very Poor","Cavity wall, as built, insulated (assumed)","Good","Good","None","N/A","N/A","Pitched, 100 mm loft insulation","Average","Average","Boiler and radiators, mains gas","Good","Good","Programmer, room thermostat and TRVs","Good","Good","Low energy lighting in 60% of fixed outlets","Good","Good","mains gas - this is for backwards compatibility only and should not be used",0,"unheated corridor",2.8,2.37,0,"N","natural","Mole Valley","Mole Valley"
10000047,"{61D8894E-5514-3DE6-E053-6C04A8C01207}","E00155760","KT22 9DN",3e+05,"2017-09-08","T","N","F","15","","ELMER MEWS","FETCHAM","LEATHERHEAD","MOLE VALLEY","SURREY","A","A",2017,"E01030539","E02006366","E07000210","Mole Valley","E12000008","South East",11,"House","2017-02-21","2017-02-21",58,3,5172.41379310345,4987810578,"D","B",60,89,"Enclosed End-Terrace","E07000210","E14000824","Surrey","marketed sale",55,89,315,57,3.2,55,0.6,65,41,491,315,191,66,"Unknown","Y","NODATA!","",NA,"2104",0,"not defined","Normal",1,3,43,0,"From main system","Average","Average","Suspended, no insulation (assumed)","NO DATA!","N/A","Single glazed","Very Poor","Very Poor","Cavity wall, as built, insulated (assumed)","Good","Good","None","N/A","N/A","Pitched, 100 mm loft insulation","Average","Average","Boiler and radiators, mains gas","Good","Good","Programmer and room thermostat","Average","Average","Low energy lighting in 43% of fixed outlets","Average","Average","mains gas (not community)",0,"NO DATA!",NA,NA,NA,"N","natural","Mole Valley","Mole Valley"
